UF,Municipio,Domicílios Ocupados 2010 (Unidades),População 2000 (Unidades),Populacao2010,Crescimento 2000-2010 (Percentual),Homens 2010 (Unidades),Mulheres 2010 (Unidades),Homens 2010 (Percentual),Mulheres 2010 (Percentual),Urbano 2010 (Unidades),Rural 2010 (Unidades),Urbano 2010 (Percentual),Rural 2010 (Percentual)
BRASIL,,"56,541,472","169,799,170","190,732,694",12.33,"93,390,532","97,342,162",49.0,51.0,"160,879,708","29,852,986",84.3,15.7
RO,Alta Floresta D'Oeste,"7,276","26,533",24422,-7.96,"12,670","11,752",51.9,48.1,"13,992","10,430",57.3,42.7
RO,Ariquemes,"26,543","74,503",90354,21.28,"45,538","44,816",50.4,49.6,"69,606","20,748",77.0,23.0
RO,Cabixi,"1,976","7,518",6309,-16.08,"3,262","3,047",51.7,48.3,"2,693","3,616",42.7,57.3
RO,Cacoal,"24,043","73,568",78601,6.84,"39,155","39,446",49.8,50.2,"61,931","16,670",78.8,21.2
RO,Cerejeiras,"5,362","18,207",17030,-6.46,"8,552","8,478",50.2,49.8,"14,420","2,610",84.7,15.3
RO,Colorado do Oeste,"5,945","21,892",18602,-15.03,"9,333","9,269",50.2,49.8,"13,666","4,936",73.5,26.5
RO,Corumbiara,"2,661","10,459",8802,-15.84,"4,722","4,080",53.6,46.4,"2,590","6,212",29.4,70.6
RO,Costa Marques,"3,689","10,208",13700,34.21,"7,209","6,491",52.6,47.4,"7,504","6,196",54.8,45.2
RO,Espigão D'Oeste,"8,609","25,688",28741,11.88,"14,633","14,108",50.9,49.1,"20,629","8,112",71.8,28.2
RO,Guajará-Mirim,"10,764","38,045",41646,9.47,"20,940","20,706",50.3,49.7,"35,197","6,449",84.5,15.5
RO,Jaru,"15,763","53,600",52043,-2.90,"26,037","26,006",50.0,50.0,"35,141","16,902",67.5,32.5
RO,Ji-Paraná,"35,326","106,800",116587,9.16,"57,834","58,753",49.6,50.4,"104,841","11,746",89.9,10.1
RO,Machadinho D'Oeste,"9,077","22,739",31107,36.80,"16,519","14,588",53.1,46.9,"16,176","14,931",52.0,48.0
RO,Nova Brasilândia D'Oeste,"5,924","17,067",19845,16.28,"10,328","9,517",52.0,48.0,"8,370","11,475",42.2,57.8
RO,Ouro Preto do Oeste,"11,559","40,884",37941,-7.20,"18,709","19,232",49.3,50.7,"28,208","9,733",74.3,25.7
RO,Pimenta Bueno,"9,815","31,752",33754,6.31,"17,010","16,744",50.4,49.6,"29,358","4,396",87.0,13.0
RO,Porto Velho,"113,841","334,661",426558,27.46,"215,561","210,997",50.5,49.5,"391,014","35,544",91.7,8.3
RO,Presidente Médici,"6,820","26,365",22319,-15.35,"11,316","11,003",50.7,49.3,"13,296","9,023",59.6,40.4
RO,Rio Crespo,999,"2,937",3316,12.90,"1,767","1,549",53.3,46.7,"1,064","2,252",32.1,67.9
RO,Rolim de Moura,"15,807","47,382",50672,6.94,"25,178","25,494",49.7,50.3,"41,454","9,218",81.8,18.2
RO,Santa Luzia D'Oeste,"2,756","11,603",8886,-23.42,"4,596","4,290",51.7,48.3,"4,525","4,361",50.9,49.1
RO,Vilhena,"23,466","53,598",76187,42.15,"37,779","38,408",49.6,50.4,"72,212","3,975",94.8,5.2
RO,São Miguel do Guaporé,"6,399","23,874",21824,-8.59,"11,327","10,497",51.9,48.1,"8,471","13,353",38.8,61.2
RO,Nova Mamoré,"6,441","14,778",22552,52.61,"11,738","10,814",52.0,48.0,"13,069","9,483",58.0,42.0
RO,Alvorada D'Oeste,"5,030","19,832",16864,-14.97,"8,677","8,187",51.5,48.5,"8,837","8,027",52.4,47.6
RO,Alto Alegre dos Parecis,"3,712","12,708",12826,0.93,"6,746","6,080",52.6,47.4,"3,665","9,161",28.6,71.4
RO,Alto Paraíso,"5,042","13,118",17144,30.69,"9,025","8,119",52.6,47.4,"8,216","8,928",47.9,52.1
RO,Buritis,"9,486","25,668",32385,26.17,"16,746","15,639",51.7,48.3,"18,113","14,272",55.9,44.1
RO,Novo Horizonte do Oeste,"2,989","12,276",10237,-16.61,"5,333","4,904",52.1,47.9,"1,732","8,505",16.9,83.1
RO,Cacaulândia,"1,684","5,372",5727,6.61,"2,960","2,767",51.7,48.3,"2,068","3,659",36.1,63.9
RO,Campo Novo de Rondônia,"3,650","11,463",12669,10.52,"6,770","5,899",53.4,46.6,"3,371","9,298",26.6,73.4
RO,Candeias do Jamari,"5,597","13,107",19782,50.93,"10,327","9,455",52.2,47.8,"12,898","6,884",65.2,34.8
RO,Castanheiras,"1,116","4,212",3581,-14.98,"1,831","1,750",51.1,48.9,842,"2,739",23.5,76.5
RO,Chupinguaia,"2,405","5,521",8304,50.41,"4,409","3,895",53.1,46.9,"3,670","4,634",44.2,55.8
RO,Cujubim,"4,546","6,536",15873,142.85,"8,476","7,397",53.4,46.6,"11,065","4,808",69.7,30.3
RO,Governador Jorge Teixeira,"3,009","13,641",10513,-22.93,"5,471","5,042",52.0,48.0,"2,361","8,152",22.5,77.5
RO,Itapuã do Oeste,"2,559","6,822",8561,25.49,"4,563","3,998",53.3,46.7,"5,220","3,341",61.0,39.0
RO,Ministro Andreazza,"2,927","11,342",10354,-8.71,"5,306","5,048",51.2,48.8,"3,074","7,280",29.7,70.3
RO,Mirante da Serra,"3,495","13,154",11869,-9.77,"6,057","5,812",51.0,49.0,"6,432","5,437",54.2,45.8
RO,Monte Negro,"4,098","12,627",14090,11.59,"7,407","6,683",52.6,47.4,"7,387","6,703",52.4,47.6
RO,Nova União,"2,101","8,233",7498,-8.93,"4,003","3,495",53.4,46.6,"1,540","5,958",20.5,79.5
RO,Parecis,"1,403","3,622",4810,32.80,"2,596","2,214",54.0,46.0,"1,774","3,036",36.9,63.1
RO,Pimenteiras do Oeste,708,"2,527",2322,-8.11,"1,223","1,099",52.7,47.3,"1,297","1,025",55.9,44.1
RO,Primavera de Rondônia,"1,070","4,311",3523,-18.28,"1,856","1,667",52.7,47.3,"1,282","2,241",36.4,63.6
RO,São Felipe D'Oeste,"1,816","7,056",6018,-14.71,"3,086","2,932",51.3,48.7,"1,444","4,574",24.0,76.0
RO,São Francisco do Guaporé,"4,736","11,085",16019,44.51,"8,410","7,609",52.5,47.5,"8,227","7,792",51.4,48.6
RO,Seringueiras,"3,339","11,655",11649,-0.05,"6,090","5,559",52.3,47.7,"4,407","7,242",37.8,62.2
RO,Teixeirópolis,"1,480","5,618",4893,-12.90,"2,544","2,349",52.0,48.0,"1,718","3,175",35.1,64.9
RO,Theobroma,"3,121","11,140",10644,-4.45,"5,649","4,995",53.1,46.9,"1,980","8,664",18.6,81.4
RO,Urupá,"3,922","14,880",12969,-12.84,"6,729","6,240",51.9,48.1,"5,141","7,828",39.6,60.4
RO,Vale do Anari,"2,771","7,737",9361,20.99,"4,972","4,389",53.1,46.9,"3,184","6,177",34.0,66.0
RO,Vale do Paraíso,"2,436","9,863",8218,-16.68,"4,249","3,969",51.7,48.3,"2,276","5,942",27.7,72.3
AC,Acrelândia,"3,472","7,935",12538,58.01,"6,597","5,941",52.6,47.4,"5,916","6,622",47.2,52.8
AC,Assis Brasil,"1,520","3,490",6075,74.07,"3,091","2,984",50.9,49.1,"3,703","2,372",61.0,39.0
AC,Brasiléia,"5,842","17,013",21438,26.01,"11,060","10,378",51.6,48.4,"14,299","7,139",66.7,33.3
AC,Bujari,"2,302","5,826",8474,45.45,"4,560","3,914",53.8,46.2,"3,681","4,793",43.4,56.6
AC,Capixaba,"2,341","5,206",8810,69.23,"4,658","4,152",52.9,47.1,"3,928","4,882",44.6,55.4
AC,Cruzeiro do Sul,"18,337","67,441",78444,16.32,"39,185","39,259",50.0,50.0,"55,259","23,185",70.4,29.6
AC,Epitaciolândia,"4,333","11,028",15126,37.16,"7,636","7,490",50.5,49.5,"10,622","4,504",70.2,29.8
AC,Feijó,"6,993","26,722",32311,20.92,"16,660","15,651",51.6,48.4,"16,635","15,676",51.5,48.5
AC,Jordão,"1,288","4,454",6531,46.63,"3,396","3,135",52.0,48.0,"2,265","4,266",34.7,65.3
AC,Mâncio Lima,"3,543","11,095",15246,37.41,"7,856","7,390",51.5,48.5,"8,782","6,464",57.6,42.4
AC,Manoel Urbano,"1,833","6,374",7989,25.34,"4,256","3,733",53.3,46.7,"5,285","2,704",66.2,33.8
AC,Marechal Thaumaturgo,"2,733","8,295",14200,71.19,"7,437","6,763",52.4,47.6,"3,971","10,229",28.0,72.0
AC,Plácido de Castro,"4,736","15,172",17203,13.39,"8,997","8,206",52.3,47.7,"10,390","6,813",60.4,39.6
AC,Porto Walter,"1,664","5,485",9172,67.22,"4,791","4,381",52.2,47.8,"3,317","5,855",36.2,63.8
AC,Rio Branco,"90,643","253,059",335796,32.69,"163,396","172,400",48.7,51.3,"308,418","27,378",91.8,8.2
AC,Rodrigues Alves,"3,092","8,093",14334,77.12,"7,450","6,884",52.0,48.0,"4,325","10,009",30.2,69.8
AC,Santa Rosa do Purus,797,"2,246",4612,105.34,"2,373","2,239",51.5,48.5,"1,894","2,718",41.1,58.9
AC,Senador Guiomard,"5,573","19,761",20153,1.98,"10,328","9,825",51.2,48.8,"12,670","7,483",62.9,37.1
AC,Sena Madureira,"9,053","29,420",37993,29.14,"19,704","18,289",51.9,48.1,"25,132","12,861",66.1,33.9
AC,Tarauacá,"7,438","26,037",35526,36.44,"18,317","17,209",51.6,48.4,"19,363","16,163",54.5,45.5
AC,Xapuri,"4,301","11,956",16016,33.96,"8,310","7,706",51.9,48.1,"10,270","5,746",64.1,35.9
AC,Porto Acre,"3,925","11,418",14806,29.67,"7,806","7,000",52.7,47.3,"1,955","12,851",13.2,86.8
AM,Alvarães,"2,473","12,150",14080,15.88,"7,408","6,672",52.6,47.4,"7,878","6,202",56.0,44.0
AM,Amaturá,"1,650","7,308",9657,32.14,"4,986","4,671",51.6,48.4,"4,945","4,712",51.2,48.8
AM,Anamã,"1,808","6,563",10193,55.31,"5,434","4,759",53.3,46.7,"4,174","6,019",40.9,59.1
AM,Anori,"2,992","11,320",16289,43.90,"8,497","7,792",52.2,47.8,"9,989","6,300",61.3,38.7
AM,Apuí,"4,525","13,864",18059,30.26,"9,571","8,488",53.0,47.0,"10,606","7,453",58.7,41.3
AM,Atalaia do Norte,"2,883","10,049",15149,50.75,"7,851","7,298",51.8,48.2,"6,891","8,258",45.5,54.5
AM,Autazes,"6,589","24,345",31876,30.93,"16,829","15,047",52.8,47.2,"13,885","17,991",43.6,56.4
AM,Barcelos,"4,731","24,197",25715,6.27,"13,814","11,901",53.7,46.3,"11,160","14,555",43.4,56.6
AM,Barreirinha,"5,171","22,579",27361,21.18,"14,316","13,045",52.3,47.7,"12,422","14,939",45.4,54.6
AM,Benjamin Constant,"5,977","23,219",33391,43.81,"17,246","16,145",51.6,48.4,"20,132","13,259",60.3,39.7
AM,Beruri,"2,868","11,038",15500,40.42,"8,153","7,347",52.6,47.4,"7,795","7,705",50.3,49.7
AM,Boa Vista do Ramos,"2,672","10,482",14921,42.35,"7,948","6,973",53.3,46.7,"7,521","7,400",50.4,49.6
AM,Boca do Acre,"6,889","26,959",29880,10.83,"15,545","14,335",52.0,48.0,"19,273","10,607",64.5,35.5
AM,Borba,"6,459","28,619",34452,20.38,"17,953","16,499",52.1,47.9,"14,409","20,043",41.8,58.2
AM,Caapiranga,"2,133","8,803",10909,23.92,"5,776","5,133",52.9,47.1,"5,140","5,769",47.1,52.9
AM,Canutama,"2,908","10,737",12727,18.53,"6,868","5,859",54.0,46.0,"6,682","6,045",52.5,47.5
AM,Carauari,"5,107","23,421",25700,9.73,"13,195","12,505",51.3,48.7,"19,754","5,946",76.9,23.1
AM,Careiro,"7,271","27,554",32631,18.43,"16,922","15,709",51.9,48.1,"9,440","23,191",28.9,71.1
AM,Careiro da Várzea,"5,742","17,267",23963,38.78,"12,707","11,256",53.0,47.0,"1,000","22,963",4.2,95.8
AM,Coari,"14,608","67,096",75909,13.13,"39,429","36,480",51.9,48.1,"49,638","26,271",65.4,34.6
AM,Codajás,"4,319","17,507",23119,32.06,"12,029","11,090",52.0,48.0,"15,808","7,311",68.4,31.6
AM,Eirunepé,"6,228","26,074",30666,17.61,"15,791","14,875",51.5,48.5,"22,178","8,488",72.3,27.7
AM,Envira,"3,191","19,060",16328,-14.33,"8,395","7,933",51.4,48.6,"10,553","5,775",64.6,35.4
AM,Fonte Boa,"3,819","31,509",22659,-28.09,"11,744","10,915",51.8,48.2,"15,039","7,620",66.4,33.6
AM,Guajará,"2,579","13,220",14074,6.46,"7,340","6,734",52.2,47.8,"7,457","6,617",53.0,47.0
AM,Humaitá,"9,512","32,796",44116,34.52,"23,115","21,001",52.4,47.6,"30,475","13,641",69.1,30.9
AM,Ipixuna,"3,628","14,759",22199,50.41,"11,331","10,868",51.0,49.0,"9,452","12,747",42.6,57.4
AM,Iranduba,"9,663","32,303",40735,26.10,"20,976","19,759",51.5,48.5,"28,928","11,807",71.0,29.0
AM,Itacoatiara,"19,708","72,105",86840,20.44,"44,419","42,421",51.2,48.8,"58,175","28,665",67.0,33.0
AM,Itamarati,"1,564","8,406",8040,-4.35,"4,238","3,802",52.7,47.3,"4,474","3,566",55.6,44.4
AM,Itapiranga,"1,758","7,309",8200,12.19,"4,297","3,903",52.4,47.6,"6,447","1,753",78.6,21.4
AM,Japurá,"1,233","10,285",7289,-29.13,"3,804","3,485",52.2,47.8,"3,319","3,970",45.5,54.5
AM,Juruá,"2,016","6,584",10822,64.37,"5,564","5,258",51.4,48.6,"5,686","5,136",52.5,47.5
AM,Jutaí,"3,148","22,500",17964,-20.16,"9,416","8,548",52.4,47.6,"10,559","7,405",58.8,41.2
AM,Lábrea,"8,063","28,956",37574,29.76,"19,586","17,988",52.1,47.9,"24,223","13,351",64.5,35.5
AM,Manacapuru,"17,848","73,695",85144,15.54,"43,429","41,715",51.0,49.0,"60,178","24,966",70.7,29.3
AM,Manaquiri,"4,886","12,711",22807,79.43,"11,747","11,060",51.5,48.5,"7,068","15,739",31.0,69.0
AM,Manaus,"444,152","1,405,835",1802525,28.22,"879,893","922,632",48.8,51.2,"1,793,416","9,109",99.5,0.5
AM,Manicoré,"9,560","38,038",47011,23.59,"24,681","22,330",52.5,47.5,"20,347","26,664",43.3,56.7
AM,Maraã,"2,734","17,079",17364,1.67,"9,339","8,025",53.8,46.2,"8,759","8,605",50.4,49.6
AM,Maués,"9,669","40,036",51847,29.50,"27,084","24,763",52.2,47.8,"25,836","26,011",49.8,50.2
AM,Nhamundá,"3,794","15,355",18278,19.04,"9,496","8,782",52.0,48.0,"7,010","11,268",38.4,61.6
AM,Nova Olinda do Norte,"5,530","23,725",30761,29.66,"15,782","14,979",51.3,48.7,"13,648","17,113",44.4,55.6
AM,Novo Airão,"2,983","9,651",14780,53.14,"7,655","7,125",51.8,48.2,"9,490","5,290",64.2,35.8
AM,Novo Aripuanã,"4,178","17,119",21389,24.94,"11,405","9,984",53.3,46.7,"14,079","7,310",65.8,34.2
AM,Parintins,"20,662","90,150",102066,13.22,"52,318","49,748",51.3,48.7,"69,905","32,161",68.5,31.5
AM,Pauini,"3,061","17,092",18153,6.21,"9,485","8,668",52.3,47.7,"9,264","8,889",51.0,49.0
AM,Presidente Figueiredo,"7,224","17,394",27121,55.92,"14,321","12,800",52.8,47.2,"12,999","14,122",47.9,52.1
AM,Rio Preto da Eva,"6,096","17,582",25758,46.50,"13,416","12,342",52.1,47.9,"12,244","13,514",47.5,52.5
AM,Santa Isabel do Rio Negro,"2,627","10,561",18133,71.70,"9,315","8,818",51.4,48.6,"6,858","11,275",37.8,62.2
AM,Santo Antônio do Içá,"3,995","28,213",24487,-13.21,"12,591","11,896",51.4,48.6,"12,954","11,533",52.9,47.1
AM,São Gabriel da Cachoeira,"7,366","29,947",37300,24.55,"19,144","18,156",51.3,48.7,"19,001","18,299",50.9,49.1
AM,São Paulo de Olivença,"5,352","23,113",31426,35.97,"16,268","15,158",51.8,48.2,"14,267","17,159",45.4,54.6
AM,São Sebastião do Uatumã,"1,937","7,160",10688,49.27,"5,670","5,018",53.1,46.9,"5,907","4,781",55.3,44.7
AM,Silves,"1,741","7,785",8445,8.48,"4,500","3,945",53.3,46.7,"4,033","4,412",47.8,52.2
AM,Tabatinga,"10,008","37,919",52279,37.87,"26,347","25,932",50.4,49.6,"36,371","15,908",69.6,30.4
AM,Tapauá,"3,898","20,595",19077,-7.37,"10,075","9,002",52.8,47.2,"10,618","8,459",55.7,44.3
AM,Tefé,"12,123","64,457",61399,-4.74,"31,492","29,907",51.3,48.7,"50,072","11,327",81.6,18.4
AM,Tonantins,"2,783","15,512",17056,9.95,"8,767","8,289",51.4,48.6,"8,903","8,153",52.2,47.8
AM,Uarini,"2,149","10,254",11906,16.11,"6,319","5,587",53.1,46.9,"6,799","5,107",57.1,42.9
AM,Urucará,"3,255","18,372",17019,-7.36,"8,829","8,190",51.9,48.1,"9,868","7,151",58.0,42.0
AM,Urucurituba,"3,177","12,264",17731,44.58,"9,467","8,264",53.4,46.6,"10,355","7,376",58.4,41.6
RR,Amajari,"2,112","5,294",9330,76.24,"4,995","4,335",53.5,46.5,"1,219","8,111",13.1,86.9
RR,Alto Alegre,"3,683","17,907",16286,-9.05,"8,592","7,694",52.8,47.2,"4,780","11,506",29.4,70.6
RR,Boa Vista,"75,701","200,568",284258,41.73,"140,808","143,450",49.5,50.5,"277,754","6,504",97.7,2.3
RR,Bonfim,"2,500","9,326",10951,17.42,"5,883","5,068",53.7,46.3,"3,716","7,235",33.9,66.1
RR,Cantá,"3,622","8,571",13778,60.75,"7,470","6,308",54.2,45.8,"2,257","11,521",16.4,83.6
RR,Caracaraí,"4,398","14,286",18384,28.69,"9,725","8,659",52.9,47.1,"10,889","7,495",59.2,40.8
RR,Caroebe,"2,188","5,692",8114,42.55,"4,309","3,805",53.1,46.9,"3,324","4,790",41.0,59.0
RR,Iracema,"2,249","4,781",8676,81.47,"4,593","4,083",52.9,47.1,"4,078","4,598",47.0,53.0
RR,Mucajaí,"3,861","11,247",14814,31.72,"7,872","6,942",53.1,46.9,"8,944","5,870",60.4,39.6
RR,Normandia,"1,701","6,138",8926,45.42,"4,670","4,256",52.3,47.7,"2,311","6,615",25.9,74.1
RR,Pacaraima,"2,413","6,990",10448,49.47,"5,418","5,030",51.9,48.1,"4,516","5,932",43.2,56.8
RR,Rorainópolis,"6,263","17,393",25587,47.11,"13,672","11,915",53.4,46.6,"10,679","14,908",41.7,58.3
RR,São João da Baliza,"1,706","5,091",6778,33.14,"3,556","3,222",52.5,47.5,"4,775","2,003",70.4,29.6
RR,São Luiz,"1,738","5,311",6750,27.09,"3,568","3,182",52.9,47.1,"4,455","2,295",66.0,34.0
RR,Uiramutã,"1,401","5,802",8147,40.42,"4,212","3,935",51.7,48.3,"1,083","7,064",13.3,86.7
PA,Abaetetuba,"30,804","119,152",141054,18.38,"71,612","69,442",50.8,49.2,"82,950","58,104",58.8,41.2
PA,Abel Figueiredo,"1,871","5,957",6792,14.02,"3,542","3,250",52.1,47.9,"6,046",746,89.0,11.0
PA,Acará,"11,800","52,126",53605,2.84,"28,139","25,466",52.5,47.5,"12,625","40,980",23.6,76.4
PA,Afuá,"6,697","29,505",35017,18.68,"18,449","16,568",52.7,47.3,"9,478","25,539",27.1,72.9
PA,Água Azul do Norte,"5,828","22,084",25061,13.48,"13,618","11,443",54.3,45.7,"4,876","20,185",19.5,80.5
PA,Alenquer,"11,859","41,784",52714,26.16,"27,086","25,628",51.4,48.6,"27,774","24,940",52.7,47.3
PA,Almeirim,"7,829","33,957",33665,-0.86,"17,502","16,163",52.0,48.0,"19,972","13,693",59.3,40.7
PA,Altamira,"26,429","77,439",105030,35.63,"52,814","52,216",50.3,49.7,"90,068","14,962",85.8,14.2
PA,Anajás,"4,756","18,322",24771,35.20,"12,968","11,803",52.4,47.6,"9,492","15,279",38.3,61.7
PA,Ananindeua,"121,609","393,569",471744,19.86,"226,537","245,207",48.0,52.0,"470,590","1,154",99.8,0.2
PA,Anapu,"5,018","9,407",20493,117.85,"10,965","9,528",53.5,46.5,"9,840","10,653",48.0,52.0
PA,Augusto Corrêa,"8,860","33,011",40499,22.68,"20,994","19,505",51.8,48.2,"18,237","22,262",45.0,55.0
PA,Aurora do Pará,"5,822","19,728",26579,34.73,"13,630","12,949",51.3,48.7,"8,174","18,405",30.8,69.2
PA,Aveiro,"3,316","15,518",15767,1.60,"8,319","7,448",52.8,47.2,"3,182","12,585",20.2,79.8
PA,Bagre,"4,048","13,708",23855,74.02,"12,136","11,719",50.9,49.1,"10,652","13,203",44.7,55.3
PA,Baião,"7,974","21,119",36907,74.76,"19,450","17,457",52.7,47.3,"18,555","18,352",50.3,49.7
PA,Bannach,988,"3,780",3434,-9.15,"1,849","1,585",53.8,46.2,"1,284","2,150",37.4,62.6
PA,Barcarena,"23,729","63,268",99800,57.74,"50,379","49,421",50.5,49.5,"36,357","63,443",36.4,63.6
PA,Belém,"357,033","1,280,614",1392031,8.70,"658,188","733,843",47.3,52.7,"1,380,836","11,195",99.2,0.8
PA,Belterra,"4,004","14,594",16324,11.85,"8,483","7,841",52.0,48.0,"6,853","9,471",42.0,58.0
PA,Benevides,"13,553","35,546",51663,45.34,"25,824","25,839",50.0,50.0,"28,907","22,756",56.0,44.0
PA,Bom Jesus do Tocantins,"3,832","13,106",15246,16.33,"8,028","7,218",52.7,47.3,"8,160","7,086",53.5,46.5
PA,Bonito,"3,327","9,814",13630,38.88,"7,114","6,516",52.2,47.8,"3,827","9,803",28.1,71.9
PA,Bragança,"26,074","93,779",113165,20.67,"57,244","55,921",50.6,49.4,"72,595","40,570",64.1,35.9
PA,Brasil Novo,"4,518","17,193",17960,4.46,"9,627","8,333",53.6,46.4,"6,912","11,048",38.5,61.5
PA,Brejo Grande do Araguaia,"1,917","7,464",7324,-1.88,"3,836","3,488",52.4,47.6,"4,320","3,004",59.0,41.0
PA,Breu Branco,"12,250","32,446",52497,61.80,"27,090","25,407",51.6,48.4,"29,303","23,194",55.8,44.2
PA,Breves,"17,471","80,158",92865,15.85,"47,780","45,085",51.5,48.5,"46,561","46,304",50.1,49.9
PA,Bujaru,"5,872","21,032",25700,22.19,"13,338","12,362",51.9,48.1,"8,099","17,601",31.5,68.5
PA,Cachoeira do Piriá,"5,617","15,437",26476,71.51,"13,710","12,766",51.8,48.2,"5,523","20,953",20.9,79.1
PA,Cachoeira do Arari,"4,512","15,783",20460,29.63,"10,552","9,908",51.6,48.4,"7,365","13,095",36.0,64.0
PA,Cametá,"23,638","97,624",120904,23.85,"62,023","58,881",51.3,48.7,"52,846","68,058",43.7,56.3
PA,Canaã dos Carajás,"7,480","10,922",26727,144.71,"13,589","13,138",50.8,49.2,"20,738","5,989",77.6,22.4
